# Time (s),Longitudinal moment of inertia (kg·m²),,,,Corrective Moment Coefficient (),C2r,C2r (Aerodynamic),C2,DR,Air temperature (K),Air pressure (mbar),Exhaust Velocity () / Tail Velocity,CP location (cm),CG location (cm),CP NEW(m),CG NEW (m),mass flow rate,Total velocity (m/s),Total acceleration (m/s²),Mass (g),Normal force coefficient (​),,# Angle of attack (°),Reference area (cm²)
0.02,1.44,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.35,NaN,NaN,0.47,0.06,3.18,"5,961.14",NaN,,88.322,67.137
3.789,1.221,,,,463.75,0.03,6.18,6.21,0.13,282.70,916.84,"1,934.59",148.23,115.38,1.48,1.15,0.30,383.95,5.97,"4,510.26",0.03,,0.144,67.137
3.862,1.219,,,,457.78,0.03,2.74,2.77,0.06,282.52,913.73,"1,943.92",148.33,115.30,1.48,1.15,0.30,382.79,15.73,"4,496.94",0.01,,0.065,67.137
3.962,1.216,,,,455.90,0.03,10.88,10.91,0.23,282.27,909.47,"1,940.55",147.85,115.20,1.48,1.15,0.30,380.13,26.81,"4,482.03",0.05,,0.262,67.137
3.992,1.215,,,,445.13,0.03,1.73,1.76,0.04,282.20,908.23,"1,935.71",148.23,115.18,1.48,1.15,0.29,379.23,30.35,"4,478.26",0.01,,0.042,67.137
4.036,1.214,,,,468.51,0.03,0.99,1.02,0.02,282.09,906.37,"1,945.31",148.21,115.14,1.48,1.15,0.29,377.82,31.95,"4,472.60",0.00,,0.023,67.137
4.069,1.214,,,,334.29,0.03,0.25,0.28,0.01,282.01,904.95,"1,939.15",148.19,115.11,1.48,1.15,0.29,376.67,33.74,"4,468.27",0.00,,0.008,67.137
4.12,1.213,,,,530.87,0.03,0.10,0.13,0.00,281.89,902.83,"1,933.17",148.13,115.07,1.48,1.15,0.29,374.87,35.46,"4,461.78",0.00,,0.002,67.137
4.171,1.212,,,,402.45,0.03,1.45,1.48,0.03,281.76,900.69,"1,925.49",147.98,115.04,1.48,1.15,0.29,372.92,37.62,"4,456.53",0.01,,0.039,67.137
4.248,1.21,,,,436.77,0.03,7.03,7.06,0.15,281.58,897.55,"1,940.11",147.58,114.98,1.48,1.15,0.28,369.80,40.20,"4,448.81",0.03,,0.18,67.137
4.314,1.209,,,,469.76,0.03,1.88,1.91,0.04,281.42,894.97,"1,944.84",147.73,114.94,1.48,1.15,0.28,366.93,42.96,"4,442.20",0.01,,0.045,67.137
4.413,1.208,,,,435.53,0.03,5.69,5.72,0.12,281.19,891.14,"1,947.05",147.35,114.89,1.47,1.15,0.28,362.37,45.53,"4,433.98",0.03,,0.15,67.137
4.513,1.206,,,,429.33,0.03,28.50,28.52,0.63,280.95,887.32,"1,947.76",145.96,114.84,1.46,1.15,0.28,357.49,49.96,"4,426.46",0.14,,0.803,67.137
4.526,1.206,,,,424.48,0.03,4.24,4.27,0.09,280.92,886.81,"1,945.37",147.21,114.83,1.47,1.15,0.27,356.81,49.87,"4,425.45",0.02,,0.116,67.137
4.546,1.206,,,,420.67,0.03,3.78,3.81,0.08,280.87,886.05,"1,948.74",147.19,114.82,1.47,1.15,0.27,355.80,50.15,"4,423.94",0.02,,0.105,67.137
4.576,1.206,,,,428.43,0.03,9.75,9.78,0.22,280.81,884.95,"1,946.33",146.83,114.81,1.47,1.15,0.27,354.32,50.67,"4,421.88",0.05,,0.269,67.137
4.587,1.206,,,,430.94,0.03,10.77,10.80,0.24,280.78,884.52,"1,948.33",146.75,114.80,1.47,1.15,0.27,353.74,51.19,"4,421.25",0.05,,0.297,67.137
4.598,1.205,,,,429.17,0.03,9.07,9.10,0.20,280.75,884.09,"1,948.46",146.82,114.80,1.47,1.15,0.26,353.15,51.20,"4,420.61",0.04,,0.251,67.137
4.612,1.205,,,,421.17,0.03,5.23,5.26,0.12,280.72,883.58,"1,949.18",146.99,114.79,1.47,1.15,0.26,352.45,51.13,"4,419.86",0.02,,0.147,67.137
4.633,1.205,,,,431.03,0.03,1.76,1.78,0.04,280.68,882.81,"1,947.43",147.15,114.79,1.47,1.15,0.26,351.39,51.10,"4,418.72",0.01,,0.048,67.137
